EVENT_TYPE,comment,EVENT_ID
RINGING,RNG,8274
PAID,CM HAS MADE THE PYMT OF RS 2304 THROUGH AGENCY ON 31/12,19853
NOT_CONTACTABLE,NC,24073
FOLLOW_UP,CALL BACK ON 26-11-18,10677
NOT_CONTACTABLE,SWITCH OFF,29234
PROMISE_TO_PAY,WILL PAY ON 12TH,14896
PAID,CM HAS MADE THE PYMT OF RS 5772 THROUGH AGENCY ON 29/10,5439
RINGING,RINGING.,27889
CASH_PICK_UP,PIC-UP 25/12,18171
PAID,CM HAS MADE THE PYMT OF RS 1770 THROUGH ONLINE ON 17/12,26353
NOT_CONTACTABLE,NC,23395
RINGING,RNG,23975
CASH_PICK_UP,12-OCT-18 CM SAID SEND THE EXECUTIVE TOM AND COLLECT THE EMI,2647
RINGING,RNG,16243
RINGING,RNG,22639
NOT_CONTACTABLE,VISITED AT CM RESY ADD BUT DOAR LOCK.,5031
NOT_CONTACTABLE,SWITCH OFF.,5210
PROMISE_TO_PAY,WILL PAY ON 5TH,28776
PROMISE_TO_PAY,PIC-UP ON 23/1 BY ONLINE.,25571
PROMISE_TO_PAY,PROMISE TO PAY BY ONLINE ON 29 OCT 2018,5329
PAID,PAID,27422
PROMISE_TO_PAY,PTP 31/12 BY ONLINE.,19846
PAID,CASH DEPOSITED,15686
NOT_CONTACTABLE,THIS NO IS NOT IN SERVICE.,22729
RINGING,CM MOB NO RINGING,16753
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 17/01,24415
RINGING,RNG.,10954
PROMISE_TO_PAY,PTP 16/11 BY ONLINE,8918
RINGING,ASSIGNED TO AGENCY NATRAJ MOTOR,21884
PROMISE_TO_PAY,PTP ON 10-12-18,12776
RINGING,RNG,25581
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 8/01,21149
PROMISE_TO_PAY,PTP 5/12,11779
PAID,CM GIVEN 1 EMI BY CASH,8639
RINGING,RNG,27734
PAID,CM GIVEN 1 EMI BY CASH,24643
PAID,LINK SENT,15293
CASH_PICK_UP,PIC-UP 14/12,15550
PROMISE_TO_PAY,PROMISE TO PAY PAYMENT BY CASH ON 29 NOV 2018,11726
PAID,CM GIVEN 1 EMI BY CASH,6313
RINGING,RNG.,10960
RINGING,CM AN ANOTHER CALL,29850
PROMISE_TO_PAY,CM MOB NO CM SAID HE MAKE THE PAYMENT BY ONLINE,10298
PAID,CM GIVEN 1 EMI BY CASH,28598
PROMISE_TO_PAY,CUSTOMER PAY TO  31/12/2018..,19186
PAID,CHQ CLEAR,5376
PROMISE_TO_PAY,SPEAK MR. SAAHIL HE SAID TOMORROW HE MAKE EMI,29905
CASH_PICK_UP,PIC-UP,10213
PROMISE_TO_PAY,PTP 21/11 BY ONLINE.,10185
NOT_CONTACTABLE,NC,7145
RINGING,RNG,28447
PAID,PAID,4841
PAID,CM GIVEN 1 EMI BY CASH,28603
PAID,CM HAS MADE THE PYMT OF RS 4064 THROUGH AGENCY ON 29/11,12166
RINGING,ASSIGNED TO AGENCY NATRAJ MOTOR,22307
RINGING,RNG,23070
PAID,CM GIVEN 1 EMI BY CASH,12139
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 12/12,14905
NOT_WILLING_TO_PAY,CUSTOMER COMMITTED TO MANY TIMES TO MAKE PAYMENT ...BUT PTP BROKE AT ALL TIME / CUSTOMER FAMILY MEMBERS RECEIVING THE CALLS  NO ANSWERING,10672
RINGING,RNG,25989
PAID,CM HAS MADE THE PYMT OF RS 1683 THROUGH AGENCY ON 16/01,23970
PROMISE_TO_PAY,XXX-XXX-XXXX CM WILL DO PYMT BY ONLINE ON 02/01,20113
PAID,PAID,12035
PAID,PAID,8989
FOLLOW_UP,CM WILL CONFIRM BY 16/01,23614
RINGING,RINGING,8892
PROMISE_TO_PAY,"SHAFIQ SHAKHI	XXX-XXX-XXXX PTP",28851
PAID,CM HAS MADE THE PYMT OF RS 5100 THROUGH AGENCY ON 14/12,15644
PAID,PAID,3530
PAID,CM HAS MADE THE PYMT OF RS 2514 THROUGH CHQ ON 8/11,7095
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 14 NOV 2018,7885
PROMISE_TO_PAY,PTP 29/10 BY ONLINE.,5409
PAID,PAID,13033
NOT_CONTACTABLE,THIS NO IS NOT AVAILABLE . VISITED AT CM RESIDENCE   ADD BUT THIS ADDRESS IS NOT FOUND.,17225
CASH_PICK_UP,ARRANGE EXECUTIVE AT HIS RESI ADD ON 3/11,6046
RINGING,RNG,28506
RINGING,RNG.,8625
RINGING,RINGING.,9860
FOLLOW_UP,CM IS BUSY.,5220
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 29 OCT 2018,5344
RINGING,RNG,20402
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 1 JAN 2018,17149
RINGING,RNG,20698
RINGING,RNG,21090
FOLLOW_UP,CM SAID HE NOT REC RC BOOK,23337
RINGING,RNG,21173
PROMISE_TO_PAY,PTP 19/11 AT RESY ADD.,9133
PAID,CM MAKE THE ONLINE PAYMENT,9796
FOLLOW_UP,CM IS DRIVING CBK AFTER SOME TIME 24/10,4308
PROMISE_TO_PAY,WILL PAY ON 14TH,7312
PAID,CM GIVEN 1 EMI BY CASH.,26721
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,24446
RINGING,RINGING.,23368
PAID,PAID ON 29-11-18,12206
CASH_PICK_UP,PIC-UP ON 14/1,21278
PAID,18-SEP-18 CM MOB NO XXX-XXX-XXXX CM MAKE THE EMI 3020 RS BY CASH .,1080
RINGING,RNG,6099
RINGING,XXX-XXX-XXXX CM MOB NO RINGING,23689
NOT_CONTACTABLE,SWT,13629
RINGING,RNG.,9115
RINGING,RNG,4133
NOT_CONTACTABLE,NC,20719
PAID,CM GIVEN 1 EMI BY CASH,7305
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,21765
RINGING,RNG,19891
RINGING,RNG,12274
PAID,CM GIVEN 1 EMI BY CASH,23304
PROMISE_TO_PAY,PTP 13/11,7150
RINGING,RNG,17280
RINGING,RNG.,5363
PROMISE_TO_PAY,PTP 29/12,18169
PAID,DEDUCT THROUGH CHQ ON 22/10,3939
NOT_CONTACTABLE,NOT CONTACTABLE,23378
RINGING,XXX-XXX-XXXX RNG,18898
NOT_CONTACTABLE,CUSTOMER NO IS SWITCH OFF..,5821
PROMISE_TO_PAY,MR.SHAFIQ WILL MAKE PYMT ON 22/10,3666
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,23014
NOT_CONTACTABLE,BUSY,2764
PROMISE_TO_PAY,CM WILL DO PYMT BY 5/01,19778
RINGING,RNG,29859
NOT_CONTACTABLE,NC,11275
PAID,CM GIVEN 1 EMI BY CASH .,13517
PAID,PAID,8964
PAID,CM GIVEN BY 1 EMI,1297
CASH_PICK_UP,WILL PAY ON 20-10-2018,3560
RINGING,CONTINUE RINGING.,13095
NOT_WILLING_TO_PAY,WRONG NO.,3428
CASH_PICK_UP,XXX-XXX-XXXX CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,29438
RINGING,RNG.,12039
NOT_CONTACTABLE,WRONG NO,27457
PAID,PAID,14077
RINGING,REASSIGNED BY HARDIK KADAKIA,28825
PAID,PAID BY CASH,20198
PAID,CM HAS MADE THE PYMT OF RS 2304 THROUGH AGENCY ON 31/12,19828
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,10833
NOT_CONTACTABLE,NC,12912
RINGING,CM MOB NO RINGING,10829
NOT_CONTACTABLE,NC,22787
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT TOM,20515
RINGING,BUSY.,4223
PROMISE_TO_PAY,WILL PAY ON 5TH,28605
PAID,PAID,4359
RINGING,"RNG 	SHAFIQ SHAKHI	XXX-XXX-XXXX",17352
NOT_CONTACTABLE,NC,10667
PROMISE_TO_PAY,PROMISE TO PAY ON 29 OCT 2018,5538
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,14585
CASH_PICK_UP,PTP 24/1,26032
PAID,PAID ONE EMI ON 03-12-18 BY CASH PAYMENT,12696
PAID,PAID ON 24-01-19 BY,26405
PROMISE_TO_PAY,PICKUP EMI  WITH PENALTY 3354/-,10710
NOT_CONTACTABLE,SWITCH OFF.,9295
RINGING,RNG,18717
NOT_CONTACTABLE,NOT IN SERVICE.,6236
RINGING,RNG,23241
RINGING,RINGING.,24707
CASH_PICK_UP,PIC-UP ON 6/2,28957
FOLLOW_UP,CM WILL CONFIRM BY AFTER SOME TIME..16/01,23827
RINGING,RINGING,15335
PAID,PAID,1397
CASH_PICK_UP,PIC-UP ON 24/1,26057
PROMISE_TO_PAY,WILL PAY ON 31ST,27354
CASH_PICK_UP,PIC-UP 9/2,29904
PROMISE_TO_PAY,CM SAID HE MAKE THE CASH AFTER 7-DEC,12514
NOT_CONTACTABLE,SWITCH OFF.,11186
PAID,CM HAS MADE THE PYMT OF RS 4409 THROUGH AGENCY ON 6/02,29193
PAID,CM GIVEN 1 EMI,1887
CASH_PICK_UP,ASSIGNED TO AGENCY NATRAJ MOTOR,14182
CASH_PICK_UP,PIC-UP,9413
RINGING,RNG,27021
RINGING,RNG.,11192
FOLLOW_UP,11-OCT-18 CM SAID CALL BACK TOM,2561
PAID,CM GIVEN 1 EMI BY CASH,11791
FOLLOW_UP,XXX-XXX-XXXX NEW NO FOR CM.,3389
FOLLOW_UP,CM SAID CALL BACK ON 25-OCT-18,3947
RINGING,RINGING.,20210
NOT_CONTACTABLE,THIS NO IS DISCONNECTED.,4976
RINGING,RNG.,6469
CASH_PICK_UP,PICK UP CUSTOMER PAYING CASH PAYMENT,14621
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,8104
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 16 NOV 2018,8917
RINGING,RNG,28474
RINGING,RNG.,10692
CASH_PICK_UP,PIC-UP.,5917
FOLLOW_UP,CM SAID CALL BACK TOM,11478
PROMISE_TO_PAY,PTP 2/1,27991
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,19092
RINGING,RNG,5483
CASH_PICK_UP,PIC-UP,21823
FOLLOW_UP,SEND TO STATMENT.,3390
RINGING,RNG,16950
NOT_CONTACTABLE,NC,24706
PROMISE_TO_PAY,PTP  9/1,21116
PAID,CM HAS MADE THE PYMT OF RS 1822 THROUGH AGENCY ON 24/12 (RECEIPT DATE IS 21/12),18065
NOT_CONTACTABLE,NUMBER IS SWICHED OFF,18592
PAID,CM HAS MADE THE PYMT OF RS 2836 THROUGH AGENCY ON 5/10,2040
PROMISE_TO_PAY,PTP 1/11 BY ONLINE.,6021
PAID,CM GIVEN 1 EMI BY CASH,11258
CASH_PICK_UP,PIC-UP,20047
RINGING,"RNG MUZAFFAR	XXX-XXX-XXXX",27761
FOLLOW_UP,CM SAID CALL BACK,25084
RINGING,XXX-XXX-XXXX  RNG,26320
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT,17732
PROMISE_TO_PAY,PIC-UP ON 5/12 AT OFFICE ADD.,12836
PROMISE_TO_PAY,PTP 18/12 BY ONLINE.,16237
RINGING,CM NOT RECEIVING CALL,29941
RINGING,CM MOB NO RINGING,24672
RINGING,RNG,22966
NOT_CONTACTABLE,CM NUMBER BUSY,28943
PROMISE_TO_PAY,ONLINE,12948
NOT_CONTACTABLE,MOBILE NO IS NOT IN SERVICE,9867
PAID,PAID,5750
PAID,PAID,9621
PAID,CASH DEPOSITED,15751
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT ON THURSDAY .,18029
NOT_CONTACTABLE,NC,16841
RINGING,VISITED AT CM RESI ADD. BUT CM IS NOT AVAILABLE SO LEFT MASSAGE WITH CM'S MOTHER.,25933
RINGING,RINGING,6771
NOT_CONTACTABLE,NOT REACHABLE.,4167
NOT_CONTACTABLE,SWT,28017
PROMISE_TO_PAY,PTP ON 18-11-2018,10943
PROMISE_TO_PAY,WILL PAY ON 14TH,21742
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,8111
NOT_CONTACTABLE,CM NOT CONNECT,29241
PAID,CM HAS MADE THE PYMT OF RS 2907 THROUGH ONLINE ON 31/01,27742
PROMISE_TO_PAY,PROMISE TO PAY PAYMENT BY CASH ON 29  OCT 2018,5369
PAID,PAID,22088
PAID,CM GIVEN 1 EMI BY CASH,23405
NOT_WILLING_TO_PAY,"VEHICLE HAVE IN FIRST OWNER  , SAYS HARDIK SIR",29223
RINGING,RNG,24968
PAID,PAID,19759
PAID,PAID,6586
PAID,PAID CASH,6542
FOLLOW_UP,STATEMENT CHECK.,5330
FOLLOW_UP,TODAY VISIT,16767
NOT_CONTACTABLE,NC,20382
PROMISE_TO_PAY,PTP 31/11 AT RESY ADD.,5547
RINGING,CM MOB NO RINGING,16265
RINGING,RNG,7149
PROMISE_TO_PAY,PTP 1/12 BY ONLINE.,18153
RINGING,CM NOT RECEIVED CALL,28974
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,8037
NOT_CONTACTABLE,NC,28662
RINGING,CM MOB NO RINGING,25306
NOT_CONTACTABLE,THIS NO IS NOT IN SERVICE.,20907
PROMISE_TO_PAY,PTP  9/2,28577
RINGING,RINGING.,26309
NOT_CONTACTABLE,SWT,10594
NOT_CONTACTABLE,CM MOB NO IS BUSY,3470
PROMISE_TO_PAY,PROMUSAE TO PAY PAYMENT BY CASH ON 29 DEC 2018 AT 11 AM,19290
PAID,DEDUCT FROM ECS  ON 12/10,3490
PAID,PAID,15301
NOT_CONTACTABLE,NC,6452
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT ON MONTH END,17017
RINGING,RNG,22349
RINGING,CM MOB NO XXX-XXX-XXXX RINGING,19156
PAID,CM HAS MADE THE PYMT OF RS 4988 THROUGH AGENCY ON 3/10 (ADVANCE PYMT OF OCT),1805
RINGING,CM MOB NO RINGING,8540
PAID,CM GIVEN 1 EMI BY CASH,28438
NOT_CONTACTABLE,SWT,11919
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT,18018
RINGING,RNG,27639
RINGING,CM MOB NO RINGING,23690
FOLLOW_UP,CM SAID CALL BACK TOM,29240
FOLLOW_UP,CM SAID HE WANT FORECLOSURE AMT,17198
NOT_WILLING_TO_PAY,CM IS NOT REDY TO PAY SHE SAID;' TOTAL EMI PAID.,9534
RINGING,VISITED AT CM RESY ADD BUT CM IS NOT AVAILABLE. SO LEFT MASSAGE WITH CM'S BROTHER.,16768
RINGING,RNG,24280
NOT_CONTACTABLE,NC,24042
PAID,PAID,26720
NOT_CONTACTABLE,SWITCH OFF,19670
NOT_CONTACTABLE,VISITED AT CM RESY ADD BUT ADDRESS NOT FOUND. THIS ADDRESS  IS WRONG ADDRESS .,14539
PAID,PAID,17183
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,21778
NOT_CONTACTABLE,SWT,27448
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 17 NOV 2018,9007
PAID,"12/18/2018	BY CASH  - VADODARA MAIN BRANCH	ESCROW",16883
PAID,PAID,20613
PROMISE_TO_PAY,CUSTOMER PAY TO 5 EMI  10/12/2018..,13773
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 29 DEC 2018,19404
PAID,CHQ CLEAR,3981
FOLLOW_UP,CUST WANT CLOSING AMT,18713
RINGING,RNG,11396
FOLLOW_UP,ASSIGNED TO AGENCY AG ENTERPRISES,25341
PAID,PAID,20268
PAID,"PAID
CASH",6541
PAID,CM HAS DONE THE PYMT OF RS 2251 THROUGH AGENCY ON 21/09,1234
CASH_PICK_UP,PIC-UP,13693
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 19 NOV 2018,9353
RINGING,RNG,16797
CASH_PICK_UP,PICK UP - 4PM 30-11-18,12170
PAID,CASH PAID ON 11-12-2018,14983
CASH_PICK_UP,PAY PAYMENT ON 24 DEC 2018,17904
PAID,CM HAS MADE THE PYMT OF RS 24000 THROUGH AGENCY ON 17/12,16567
PAID,CM HAS MADE THE PYMT OF RS 1341 THROUGH ONLINE ON 21/01,25862
PAID,CM HAS MADE THE PYMT OF RS 3734 THROUGH AGENCY ON 24/12..(RECEIPT DATE IS 21/12),18052
PROMISE_TO_PAY,ASSIGNED TO AGENCY NATRAJ MOTOR,7250
RINGING,RNG,19422
PAID,CM HAS MADE THE PYMT OF RS 3900 THROUGH CASH DEPOSITED TO BANK ON 01/19,20064
PAID,CM HAS MADE THE PYTM OF RS 3115 THROUGH ONLINE ON 19/12,20379
RINGING,RNG,13477
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT BY CASH,25860
RINGING,RNG,26239
PAID,PAID,18722
PAID,PAID,8759
RINGING,RNG,18210
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 03 NOV 2018,5436
RINGING,RNG.,9065
PROMISE_TO_PAY,PTP 29/12 IN DIRECTLY OFFICE.,19668
NOT_WILLING_TO_PAY,SHIFTED / GIVEN TO MANY TIMES PTP BUT ALWAYS BROKEN AND ONLY SAYING I WILL BE MAKE PAYMENT,6233
RINGING,RNG,21071
RINGING,CM MOB NO RINGING,25149
RINGING,RNG,21147
RINGING,RNG,20620
PAID,CM HAS MADE THE PYMT OF RS 1332 THROUGH ECS ON 12/10 (CONFIRM BY POONAM),3436
PAID,CM HAS MADE THE PYMT OF RS 4410 THROUGH AGENCY ON 24/10,4428
PAID,CM GIVEN 1 EMI BY CASH,26422
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,22200
RINGING,ASSIGNED TO AGENCY JAI MATA DI COLLECTION AGENCY,17387
RINGING,REASSIGNED BY HARDIK KADAKIA,8227
RINGING,RNG.,6653
NOT_CONTACTABLE,SWITCH OFF.,19152
CASH_PICK_UP,PIC-UP,20103
PAID,CM GIVEN 1 EMI BY CASH,13211
PROMISE_TO_PAY,PTP 29/ 10 AT RESY ADD.,4942
PROMISE_TO_PAY,PTP 17/11 AT RESY ADD.,8815
FOLLOW_UP,XXX-XXX-XXXX RNG,19603
PROMISE_TO_PAY,WILL PAY ON 14TH,21341
RINGING,RNG,16873
NOT_CONTACTABLE,THIS NO IS NOT IN SERVICE.,9001
NOT_CONTACTABLE,SWITCH OFF,25092
PAID,PAID,26349
CASH_PICK_UP,PIC-UP.,9467
PROMISE_TO_PAY,PTP 19/11 AT RESY ADD.,9119
RINGING,CM MOB NO RINGING,6074
RINGING,RNG,18351
CASH_PICK_UP,PIC-UP,11931
CASH_PICK_UP,PIC-UP.,6200
PAID,PAYMENT LINK SENDED,19350
PAID,PAID,6702
PAID,CM PAY 1 EMI,4785
PAID,CM HAS MADE THE PYMT OF RS 3871 THROUGH AGENCY ON 05/01,20883
PROMISE_TO_PAY,1 EMI PAID 14/12 BY ONLINE AND OTHER EMI PAY TO NEXT WEEK,15956
PROMISE_TO_PAY,FORECLOSER,6940
RINGING,RNG,26595
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,8506
RINGING,RNG FOR REF NO.,22956
PROMISE_TO_PAY,PTP ON 12-09-19,22843
PAID,PAID ON 26-12-18,19634
PAID,PAID,21757
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 01 NOV 2018,5354
PROMISE_TO_PAY,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,24146
NOT_CONTACTABLE,ASSIGNED TO AGENCY NATRAJ MOTOR,22309
PAID,CM HAS MADE THE PYYMT OF RS 10000 ON 5/05,9148
NOT_CONTACTABLE,MOBILE NO IS NOT AVAILABLE,5356
PROMISE_TO_PAY,PTP 4/1 BY ONLINE.,20597
RINGING,RNG,29856
NOT_CONTACTABLE,SWITCH OFF,12891
PAID,CM HAS MADE THE PYMT OF RS 4706 THROUGH AGENCY ON 5/1,20880
PAID,PAID,1373
RINGING,RNG,20739
RINGING,RNG.,11199
CASH_PICK_UP,ASSIGNED TO AGENCY NATRAJ MOTOR,7330
RINGING,RINGING.,24370
RINGING,CM MOB NO RINGING,21732
PROMISE_TO_PAY,WILL PAY ON 28TH,18697
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE TILL 14/11,7141
RINGING,REASSIGNED BY HARDIK KADAKIA,8218
RINGING,RNG.,16174
CASH_PICK_UP,PICK UP 09-01-19,21818
PAID,PAID,5747
PROMISE_TO_PAY,PTP ON 17/12/2018 BY ONLINE 2 EMI,13144
PROMISE_TO_PAY,CALLED BACK.,5040
PROMISE_TO_PAY,PTP 29/11 BY ONLINE.,11963
PAID,CM HAS MADE THE PYMT OF RS 1564 BY ONLINE ON 16/10,3288
PROMISE_TO_PAY,CUSTOMER SAYING HE WILL COME TO OFFICE TO MAKE PAYMENT OFFICE ADDRESS SENDED,15467
CASH_PICK_UP,PIC-UP,10437
FOLLOW_UP,CM'S FAMILY MEMBER SAID WILL MAKE PYMT ON 10/12,13750
RINGING,UNASSIGNED AGENCY,19352
FOLLOW_UP,CALL BACK TO 23 OCT 2018,3505
PAID,CM HAS MADE THE PYMT OF RS 2494 THROUGH AGENCY ON 17/11,9186
CASH_PICK_UP,XXX-XXX-XXXX CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,20521
PROMISE_TO_PAY,PROMISE TO PAY ON 23 OCT 2018,4208
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,8079
PAID,PAID,17089
PROMISE_TO_PAY,PTP 14/12 BY ONLINE.,15635
PROMISE_TO_PAY,CUSTOMER PAY TO 1 EMI 17/12/2018..,15987
RINGING,RNG,20108
PAID,CM HAS MADE THE PYMT OF RS 3060 THROUGH AGENCY ON 21/01,25307
RINGING,RNG,22995
RINGING,ASSIGNED TO AGENCY NATRAJ MOTOR,14872
RINGING,RNG,24127
NOT_CONTACTABLE,NC.,24087
CASH_PICK_UP,PIC-UP,11045
RINGING,RINGING,14666
PROMISE_TO_PAY,WILL PAY ON 11TH,21728
RINGING,RNG,21018
PAID,CM GIVEN 1 EMI BY CASH,22934
PAID,CM GIVEN 1 EMI BY CASH,25972
RINGING,RNG,26249
NOT_CONTACTABLE,ASSIGNED TO AGENCY AG ENTERPRISES,22391
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,19022
PAID,CM HAS MADE THE PYMT OF RS 3066 THROUGH AGENCY ON 11/12,14503
RINGING,RNG,19131
PAID,CM HAS MADE THE PYMT OF RS 3832 THROUGH MONEY TRASNFER ON 24/10,4516
RINGING,RINGING,2793
PROMISE_TO_PAY,"FORECLOSER
CUSTOMER WANTS TO CLOSE THE LOAN.",13578
RINGING,RNG,27884
PAID,CM HAS MADE THE PYMT OF RS 6571 THROUGH AGENCY ON 14/01,23341
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 26 DEC 2018,19391
RINGING,CM MOB NO RINGING,21791
PAID,CM HAS MADE THE PYMT OF RS 5344 THROUGH AGENCY ON 30/01,27580
RINGING,RNG,20457
PROMISE_TO_PAY,PTP 24/11 BY ONLINE.,10858
RINGING,CM MOB NO RINGING,4595
PROMISE_TO_PAY,XXX-XXX-XXXX  CM WILL DO PYMT BY ONLINE ON 04/01,20622
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,8161
NOT_CONTACTABLE,SWITCH OFF.,9545
RINGING,RNG,27895
PAID,CM HAS MADE THE PYMT OF RS 3192 THROUGH AGENCY ON 6/12,13524
RINGING,RNG,18661
NOT_CONTACTABLE,SWT,24402
CASH_PICK_UP,PIC - UP.,5076
NOT_CONTACTABLE,NOT REACHABLE.,12052
RINGING,RNG.,10281
RINGING,RNG,20485
RINGING,RNG.,16639
PAID,CM MAKE THE ONLINE PAYMENT,21153
PROMISE_TO_PAY,PTP ON 03-10-2018,5861
PROMISE_TO_PAY,ASSIGNED TO AGENCY ADITYA ENTERPRISE,17639
PROMISE_TO_PAY,CM GIVE PTP 27 TH OCT,4831
RINGING,RNG.,8979
NOT_CONTACTABLE,SHIFTED / NOT CONTACTABLE / AGENCY VISIT DONE NOT FOUND,5686
PROMISE_TO_PAY,ASSIGNED TO AGENCY AG ENTERPRISES,14689
PAID,CM GIVEN 1 EMI BY CASH,11866
RINGING,RNG,21456
RINGING,RNG,27546
PAID,PAID,14996
FOLLOW_UP,CB. TACKING WITH CM'S BROTHER. SHE  SAID CM IS GOING TO VILLAGE.,12894
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 20/09,1166
RINGING,RNG,20124
RINGING,RNG,14659
PAID,SEND LINK.,15727
PAID,CM GIVEN 1 EMI,1703
NOT_CONTACTABLE,SWITCH OFF.,9145
RINGING,RNG,19329
FOLLOW_UP,CM SAID I WILL PAY PAYMENT BY CASH BEFORE 5 TH NOV 2018,5553
PAID,PAID,22090
PAID,PAID,18516
PROMISE_TO_PAY,CB 21/1,24870
PROMISE_TO_PAY,PTP 7/12 AT RESY ADD.,13607
PAID,CM GIVEN 1 EMI BY CASH,17362
CASH_PICK_UP,PIC-UP,19794
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,14111
RINGING,RNG,21452
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,28218
PAID,PAID,8987
NOT_CONTACTABLE,NC,2901
RINGING,CM MOB NO RINGING,2881
PAID,CM GIVEN 1 EMI,5593
NOT_CONTACTABLE,NC,28936
NOT_CONTACTABLE,CM NUMBER NOT CONNECT,29473
FOLLOW_UP,XXX-XXX-XXXX CM WILL DO PYMT ON 10 TH FEB..BUT HE WILL TRY TO MAKE PYMT TILL 26/01,25396
CASH_PICK_UP,PIC-UP,20801
RINGING,RNG.,27019
PROMISE_TO_PAY,CM SAID HE ALREADY PAY TOTAL AMT 50 K GIVEN BY DEALER,14555
PROMISE_TO_PAY,WILL PAY ON 31ST,27644
RINGING,RNG,27860
PROMISE_TO_PAY,WILL PAY ON 20TH,15040
RINGING,RNG,23670
PROMISE_TO_PAY,PTP 31/10 AT RESY ADD.,5902
RINGING,CM NOT RADY TO PAY.,5219
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLL THE EMI,8196
RINGING,RNG,24952
CASH_PICK_UP,ARRANGE EXECUTIVE AT G.T HOSPITAL ON 3/12,12642
PROMISE_TO_PAY,PTP 23/11 BY ONLINE.,10340
FOLLOW_UP,CM SAID CALL BACK  TOM,2943
NOT_CONTACTABLE,NC,27268
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 26 NOV 2018,10915
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,14563
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 13 DEC 2018,14301
PAID,CM GIVEN 1 EMI BY CASH,24661
PAID,CM GIVEN 1 EMI BY CASH,28599
RINGING,XXX-XXX-XXXX  RNG,27192
RINGING,RNG,6681
PAID,PAID BY CASH,20194
PAID,PAID,23862
RINGING,CUSTOMER CALL NOT RECEIVE..,9035
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,11615
PROMISE_TO_PAY,PTP 2/11,4860
CASH_PICK_UP,ARRANGE EXECUTIVE AT RESI ADD ON 1/12,12041
PAID,CM GIVEN CHEQUE,5448
PAID,PAID BY CASH,19858
PAID,PAID,22271
RINGING,RNG,25115
PROMISE_TO_PAY,PTP 31/1 BY ONLINE.,27467
PAID,CM GIVEN 3 EMI BY ONLINE,1203
RINGING,RNG.,8875
PROMISE_TO_PAY,PTP 30/11 AT RESY ADD.,11382
NOT_CONTACTABLE,MOBILE NO IS INCORRECT,16932
PAID,PAID CASH,6518
FOLLOW_UP,CALL BACK,16806
NOT_CONTACTABLE,SWITCH OFF,5545
RINGING,RNG,11285
RINGING,XXX-XXX-XXXX RNG,24398
FOLLOW_UP,CALLED BACK.,4323
NOT_CONTACTABLE,NC,22220
